# COLUMNS DESCRIPTORS
# id: Sensor ID acc. to JFC1 conventions
# institution: sensor owner
# type: sensor type
# lon: WGS84 longitude (deg)
# lat: WGS84 latitude (deg)
# x: UTM 32N Easting (m)
# y: UTM 32N Northing (m)
# sensitivity: sensitivity relative to calibrator (-)
# forestfrac: weighted fraction of forest cover in sensor footprint (-)
# drymass: weighted avg. dry biomass in sensor footprint (kg/m2)
# rhob: weighted avg. soil bulk density in sensor footprint (g/ccm)  
# theta: weighted avg. volum. soil moisture in sensor footprint (m3/m3)
# thetaeq: weighted avg. volum. soil moisture equivalent of SOC and lattice water in sensor footprint (m3/m3)
# thetaeff: "apparent" or "effective" theta equivalent of SM, SOC, and lattice water , i.e. theta + theta_eq (m3/m3)
# corr_cph: average corrected neutron count rates (in cph) during ground campaign ("2019-06-25 08:00:00" - "2019-06-26 18:00:00"])
# theta_crns: theta estimated from corr_cph (with N0=3744) minus thetaeq (m3/m3)
# eff_gravm_sm: apparent (or effective) gravimetric soil moisture (in g water/g dry soil) obtained from thetaeff / rhob, i.e. incl. SOM and lattics water
#
# FURTHER INFO
# abs. humidity of the air (from climate station) as avg. over the campaign: 11.2 g/m3
#
id;institution;type;lon;lat;x;y;sensitivity;forestfrac;drymass;rhob;som;theta;thetaeq;thetaeff;corr_cph;theta_crns;eff_gravm_sm
1;UP;CRS 2000-B;11.0644;47.8254;654513.7404;5298952.3035;1.1900;0.7355;18.2003;0.9560;0.1515;0.4834;0.1107;0.5941;1775.2302;0.5164;0.6214
2;UP;CRS 1000;11.0617;47.8266;654301.3431;5299081.2029;0.4520;0.0057;0.3733;1.0601;0.1477;0.3395;0.1225;0.4620;1959.6680;0.3105;0.4359
3;UP;CRS 1000;11.0595;47.8317;654124.8040;5299645.5645;0.4580;0.0000;0.1298;1.0701;0.1378;0.3525;0.1162;0.4687;1971.5576;0.3096;0.4380
4;UP;Lab-C;11.0615;47.8239;654295.7281;5298786.3346;4.5300;0.0216;0.5645;1.0070;0.1746;0.4291;0.1314;0.5605;1867.5486;0.3806;0.5566
5;KIT;CRS 1000-B;11.0633;47.8288;654415.5194;5299331.5558;0.6700;0.0050;0.4382;0.9251;0.1295;0.3425;0.0966;0.4391;1831.2387;0.4207;0.4746
6;KIT;CRS 1000-B;11.0645;47.8225;654527.3815;5298637.9302;0.6680;0.1787;3.9543;1.0674;0.1504;0.4025;0.1229;0.5254;1880.4813;0.4025;0.4922
7;KIT;CRS 1000-B;11.0600;47.8282;654170.0830;5299258.3126;0.6680;0.0000;0.1646;1.0670;0.1484;0.3589;0.1243;0.4831;2091.9091;0.2071;0.4528
8;KIT;CRS 2000-B;11.0605;47.8325;654196.7347;5299736.6039;1.1610;0.0004;0.1458;0.9220;0.1383;0.4511;0.1013;0.5523;1789.4099;0.4786;0.5990
14;UFZ;CRS 2000;11.0688;47.8316;654822.5324;5299661.0021;0.8710;0.9241;20.7677;0.9801;0.1517;0.3624;0.1129;0.4753;1851.4992;0.4064;0.4849
16;FZJ;CRS 2000-B;11.0685;47.8260;654814.9771;5299030.4241;1.1480;0.0967;2.5986;0.9602;0.1433;0.4276;0.1077;0.5353;1843.5702;0.4118;0.5575
17;FZJ;CRS 2000-B;11.0621;47.8332;654314.8901;5299814.5278;1.1210;0.0124;0.4096;0.8233;0.1316;0.4789;0.0890;0.5679;1765.8554;0.4666;0.6899
18;FZJ;CRS 1000;11.0632;47.8315;654400.8807;5299637.5006;0.4140;0.0192;0.5689;0.8646;0.1490;0.4695;0.1014;0.5709;1755.3646;0.5015;0.6603
19;FZJ;CRS 2000-B;11.0690;47.8281;654843.9363;5299268.2727;1.1470;0.8570;13.6367;0.9894;0.1469;0.4896;0.1116;0.6012;1779.8464;0.5285;0.6076
21;GFZ;CRS 2000-B;11.0638;47.8244;654465.6486;5298842.5001;1.1320;0.0692;2.0581;0.6910;0.3675;0.5681;0.1590;0.7270;1659.2616;0.5195;1.0522
22;GFZ;CRS 2000-B;11.0660;47.8264;654630.2789;5299075.5299;1.1680;0.8863;21.5104;0.9482;0.1429;0.3765;0.1057;0.4822;1803.0517;0.4676;0.5086
23;HMZ;CRS 2000-B;11.0661;47.8324;654619.0212;5299741.2128;1.1270;0.1976;4.6721;0.5560;0.3138;0.6944;0.1035;0.7979;1598.0707;0.6176;1.4350
24;HMZ;CRS 2000-B;11.0602;47.8305;654183.8416;5299520.5984;1.1380;0.0000;0.1336;1.1291;0.1417;0.3403;0.1261;0.4664;1997.8774;0.2982;0.4131
25;KIT;CRS 1000-B;11.0595;47.8322;654124.0003;5299704.6302;0.6650;0.0000;0.1293;1.0301;0.1341;0.3485;0.1098;0.4583;1918.4375;0.3526;0.4449
