ID	ID_old	ID_IS	tree_no	azimut_?	distance to plot centre tree [m]	distance to plot centre [m]	circumference              [m]	DBH                 [cm]	height [m]	species
27	IS4	FI_1	1	241	2.9	3.1	1.17	37.24	31.8	spruce
27	IS4	FI_1	2	243	11.9	12.1	1.25	39.79	31.7	spruce
27	IS4	FI_1	3	265	10.8	11	1.1	35.01	31.4	spruce
27	IS4	FI_1	4	297	7.3	7.4	0.8	25.46	24.8	spruce
27	IS4	FI_1	5	300	5.9	6.1	1.54	49.02	34.8	spruce
27	IS4	FI_1	6	308	9.4	9.6	1.43	45.52	33.2	spruce
27	IS4	FI_1	7	331	2.5	2.7	1.26	40.11	32.6	spruce
27	IS4	FI_1	8	338	12	12.2	1.54	49.02	34.8	spruce
27	IS4	FI_1	9	2	9.6	9.8	1.28	40.74	29.2	spruce
27	IS4	FI_1	10	20	7.2	7.4	1.15	36.61	31.4	spruce
27	IS4	FI_1	11	19	10	10.3	1.8	57.3	35.8	spruce
27	IS4	FI_1	12	61	6.1	6.4	2.05	65.25	36.2	spruce
27	IS4	FI_1	13	63	3.6	3.7	0.65	20.69	26.4	spruce
27	IS4	FI_1	14	100	5.4	5.6	1.46	46.47	34	spruce
27	IS4	FI_1	15	127	7.8	8	1.12	35.65	29.4	spruce
27	IS4	FI_1	16	125	9.8	10	1.47	46.79	33.5	pine
27	IS4	FI_1	17	151	8	8.2	1.48	47.11	31.4	spruce
27	IS4	FI_1	18	157	11.5	11.7	1.37	43.61	30	spruce
27	IS4	FI_1	19	172	8.6	8.8	1.56	49.66	33.9	spruce
27	IS4	FI_1	20	197	6.8	7	1.43	45.52	32.2	spruce
27	IS4	FI_1	21	210	11.3	11.5	1.52	48.38	31.2	spruce
27	IS4	FI_1	21	117	1.55	1.8	1.52	48.38	33.7	spruce
29	IS7	FI_2	1	8	11.6	11.8	1.04	33.1	25.8	spruce
29	IS7	FI_2	2	6	8.1	8.2	0.92	29.28	23.5	spruce
29	IS7	FI_2	3	16	11.3	11.4	0.94	29.92	25.7	spruce
29	IS7	FI_2	4	30	11.3	11.4	0.9	28.65	24.5	spruce
29	IS7	FI_2	5	48	2	2.1	0.92	29.28	25.7	spruce
29	IS7	FI_2	6	46	5	5.2	1.02	32.47	26.3	spruce
29	IS7	FI_2	7	51	4.1	4.2	0.54	17.19	18.9	spruce
29	IS7	FI_2	8	42	9.1	9.2	0.67	21.33	22.8	spruce
29	IS7	FI_2	9	47	10.6	10.8	1.06	33.74	25.9	spruce
