ID - for coordinates see .../geodata/owners/vegetationSamplingFen	Comment	Date	Fresh [g/0.09 m^2]	Dry [g/0.09 m^2]	Fresh [g/m^2]	Dry [g/m^2]	BWE [mm]	Height [cm]
1	grass	2019-05-14T00:00Z	214.3	39.3	2381.111111	436.6666667	2187.231111	21
2		2019-05-15T00:00Z	325.1	44.1	3612.222222	490	3394.662222	62
3	grass	2019-05-14T00:00Z	77.8	16.3	864.4444444	181.1111111	784.0311111	23
4	grass	2019-05-14T00:00Z	220.2	38.6	2446.666667	428.8888889	2256.24	28
5		2019-05-15T00:00Z	36.5	6.5	405.5555556	72.22222222	373.4888889	18
6		2019-05-15T00:00Z	37.3	5.4	414.4444444	60	387.8044444	20
7		2019-05-16T00:00Z	2	0.4	22.22222222	4.444444444	20.24888889	
8		2019-05-14T00:00Z	1.8	-0.6	20	-6.666666667	22.96	4
9		2019-05-14T00:00Z	87.3	16.9	970	187.7777778	886.6266667	
10		2019-05-14T00:00Z	165.2	28.3	1835.555556	314.4444444	1695.942222	
11		2019-05-14T00:00Z	102.4	21.5	1137.777778	238.8888889	1031.711111	
12		2019-05-15T00:00Z	61.5	13.3	683.3333333	147.7777778	617.72	28
13		2019-05-15T00:00Z	84.7	16.3	941.1111111	181.1111111	860.6977778	15
14		2019-05-15T00:00Z	55.5	12.9	616.6666667	143.3333333	553.0266667	32
15		2019-05-15T00:00Z	120.8	35.9	1342.222222	398.8888889	1165.115556	30
16		2019-05-15T00:00Z	72.2	14.5	802.2222222	161.1111111	730.6888889	47
17		2019-05-15T00:00Z	262.8	42	2920	466.6666667	2712.8	46
18		2019-05-15T00:00Z	162.3	29.2	1803.333333	324.4444444	1659.28	50
19		2019-05-14T00:00Z	130.8	28	1453.333333	311.1111111	1315.2	14
20		2019-05-15T00:00Z	96.5	14.7	1072.222222	163.3333333	999.7022222	26
21		2019-05-16T00:00Z	5.8	0.7	64.44444444	7.777777778	60.99111111	5
22		2019-05-16T00:00Z	5	0.5	55.55555556	5.555555556	53.08888889	
23	wheat? Oat?	2019-05-16T00:00Z	40.1	7	445.5555556	77.77777778	411.0222222	17
24		2019-05-15T00:00Z	151.9	30	1687.777778	333.3333333	1539.777778	26
25		2019-05-16T00:00Z	34	7.1	377.7777778	78.88888889	342.7511111	15
26		2019-05-16T00:00Z	44.9	11.2	498.8888889	124.4444444	443.6355556	16
27		2019-05-16T00:00Z	351.6	62.1	3906.666667	690	3600.306667	27.3
28		2019-05-16T00:00Z	103.4	22.2	1148.888889	246.6666667	1039.368889	
29		2019-05-16T00:00Z	199.7	42.6	2218.888889	473.3333333	2008.728889	44
30		2019-05-16T00:00Z	87.1	20.3	967.7777778	225.5555556	867.6311111	
31		2019-05-16T00:00Z	216.2	42.1	2402.222222	467.7777778	2194.528889	52
32		2019-05-16T00:00Z	226.2	44.4	2513.333333	493.3333333	2294.293333	52
33		2019-05-16T00:00Z	151.7	29.8	1685.555556	331.1111111	1538.542222	27.1
34		2019-05-16T00:00Z	249.6	39.6	2773.333333	440	2577.973333	
35		2019-05-16T00:00Z	86	17.3	955.5555556	192.2222222	870.2088889	
36		2019-05-16T00:00Z	182	35.2	2022.222222	391.1111111	1848.568889	
37		2019-05-16T00:00Z	146.1	26.7	1623.333333	296.6666667	1491.613333	
38		2019-05-16T00:00Z	196.4	40.9	2182.222222	454.4444444	1980.448889	
39		2019-05-16T00:00Z	165.8	26	1842.222222	288.8888889	1713.955556	
40		2019-05-16T00:00Z	132.7	24.6	1474.444444	273.3333333	1353.084444	
41	verschoben  - am unteren waldrand genommen	2019-05-16T00:00Z	250.1	41.5	2778.888889	461.1111111	2574.155556	56
42		2019-05-16T00:00Z	56.3	11.1	625.5555556	123.3333333	570.7955556	23
43		2019-05-16T00:00Z	83.5	17.1	927.7777778	190	843.4177778	22
44	Waldbrache	2019-05-16T00:00Z	18.3	2.8	203.3333333	31.11111111	189.52	
45		2019-05-16T00:00Z	79.4	13.7	882.2222222	152.2222222	814.6355556	24
46		2019-05-16T00:00Z	88.4	24.8	982.2222222	275.5555556	859.8755556	
47	Borstgras	2019-05-16T00:00Z	49.4	19.2	548.8888889	213.3333333	454.1688889	
48	undergrowth	2019-05-16T00:00Z	113.6	36	1262.222222	400	1084.622222	
49	undergrowth	2019-05-16T00:00Z	63.2	29.5	702.2222222	327.7777778	556.6888889	10
50		2019-05-16T00:00Z	49.2	12.6	546.6666667	140	484.5066667	
51	forest meadow	2019-05-16T00:00Z	136.2	25.3	1513.333333	281.1111111	1388.52	
1		2019-06-06T00:00Z	20.9	4.9	232.2222222	54.44444444	208.0488889	5.5
2		2019-06-06T00:00Z	75.2	6.4	835.5555556	71.11111111	803.9822222	8
3		2019-06-06T00:00Z	77.9	17.2	865.5555556	191.1111111	780.7022222	8.5
4		2019-06-06T00:00Z	21.5	3.7	238.8888889	41.11111111	220.6355556	8
5		2019-06-06T00:00Z	42.7	5.1	474.4444444	56.66666667	449.2844444	5.5
6		2019-06-06T00:00Z	126.8	19.3	1408.888889	214.4444444	1313.675556	18
7		2019-06-06T00:00Z	19.2	0.2	213.3333333	2.222222222	212.3466667	4
8		2019-06-06T00:00Z	69.4	2.3	771.1111111	25.55555556	759.7644444	8.5
9		2019-06-06T00:00Z	74.5	9.2	827.7777778	102.2222222	782.3911111	8.5
10		2019-06-06T00:00Z	15.8	1.5	175.5555556	16.66666667	168.1555556	6
