datetime;JUNG;JUNG1;DRBS;KIEL2
2019-04-01 00:00:00;166.537;383.957;112.493;187.739
2019-04-01 01:00:00;166.134;384.721;112.676;188.080
2019-04-01 02:00:00;166.462;384.904;112.811;187.272
2019-04-01 03:00:00;166.111;383.993;113.124;186.999
2019-04-01 04:00:00;166.159;384.225;112.595;187.777
2019-04-01 05:00:00;166.194;384.087;112.924;187.530
2019-04-01 06:00:00;166.441;385.112;113.130;188.016
2019-04-01 07:00:00;166.233;385.337;113.059;188.252
2019-04-01 08:00:00;167.038;385.364;113.103;187.395
2019-04-01 09:00:00;167.189;384.624;113.154;188.396
2019-04-01 10:00:00;166.813;384.165;113.384;188.341
2019-04-01 11:00:00;166.584;384.879;113.125;188.535
2019-04-01 12:00:00;166.735;382.843;112.757;188.486
2019-04-01 13:00:00;166.319;385.406;112.516;187.165
2019-04-01 14:00:00;166.636;384.020;112.587;186.876
2019-04-01 15:00:00;166.338;383.905;112.824;187.385
2019-04-01 16:00:00;166.342;384.003;113.327;187.383
2019-04-01 17:00:00;165.967;383.809;113.058;187.132
2019-04-01 18:00:00;165.906;386.193;113.359;186.361
2019-04-01 19:00:00;166.277;383.321;112.457;187.702
2019-04-01 20:00:00;165.447;382.800;113.105;187.280
2019-04-01 21:00:00;166.323;383.601;112.909;187.225
2019-04-01 22:00:00;165.969;384.014;113.170;188.115
2019-04-01 23:00:00;165.647;382.721;112.829;188.100
2019-04-02 00:00:00;166.251;384.040;111.978;187.886
2019-04-02 01:00:00;166.563;384.040;112.671;187.912
2019-04-02 02:00:00;166.632;385.190;113.282;187.091
2019-04-02 03:00:00;166.573;384.937;112.656;188.086
2019-04-02 04:00:00;166.431;385.870;113.497;188.634
2019-04-02 05:00:00;166.330;384.773;113.692;188.230
2019-04-02 06:00:00;166.364;384.985;113.196;188.423
2019-04-02 07:00:00;167.574;388.205;113.465;188.456
2019-04-02 08:00:00;166.611;391.403;113.782;189.383
2019-04-02 09:00:00;166.824;390.855;112.981;188.896
2019-04-02 10:00:00;166.892;391.178;112.713;188.641
2019-04-02 11:00:00;166.765;391.181;113.243;188.723
2019-04-02 12:00:00;167.011;391.630;113.091;188.810
2019-04-02 13:00:00;166.612;390.057;112.826;188.027
2019-04-02 14:00:00;166.421;390.885;112.953;187.490
2019-04-02 15:00:00;166.162;389.613;114.454;187.672
2019-04-02 16:00:00;166.108;389.785;112.416;187.095
2019-04-02 17:00:00;165.736;389.818;112.500;187.105
2019-04-02 18:00:00;166.214;389.136;112.444;186.103
2019-04-02 19:00:00;165.312;388.613;112.248;186.687
2019-04-02 20:00:00;165.542;389.399;112.839;187.485
2019-04-02 21:00:00;166.020;389.179;112.877;187.168
2019-04-02 22:00:00;165.302;389.152;112.481;187.981
2019-04-02 23:00:00;165.892;389.225;112.647;187.703
2019-04-03 00:00:00;165.944;388.961;112.473;188.063
2019-04-03 01:00:00;165.674;389.862;112.953;187.674
2019-04-03 02:00:00;166.178;390.180;113.012;188.107
2019-04-03 03:00:00;166.228;391.390;112.649;188.151
2019-04-03 04:00:00;166.270;390.956;113.086;189.219
2019-04-03 05:00:00;166.999;392.422;114.041;189.106
2019-04-03 06:00:00;166.395;392.376;113.019;189.210
2019-04-03 07:00:00;166.402;391.671;113.523;188.929
2019-04-03 08:00:00;166.873;392.479;113.447;188.985
2019-04-03 09:00:00;166.555;392.220;113.776;189.843
2019-04-03 10:00:00;166.339;393.429;114.059;189.392
2019-04-03 11:00:00;166.815;393.495;114.027;189.871
2019-04-03 12:00:00;166.596;393.146;113.485;188.711
2019-04-03 13:00:00;166.515;392.707;114.100;188.728
2019-04-03 14:00:00;165.392;389.766;113.404;188.500
2019-04-03 15:00:00;165.503;390.773;112.691;188.184
2019-04-03 16:00:00;165.809;390.503;112.826;188.075
2019-04-03 17:00:00;165.770;391.069;113.122;188.006
2019-04-03 18:00:00;165.055;390.698;113.132;187.798
2019-04-03 19:00:00;164.991;389.397;112.611;187.411
2019-04-03 20:00:00;165.640;389.048;113.014;187.637
2019-04-03 21:00:00;166.177;390.863;112.734;188.529
2019-04-03 22:00:00;165.708;391.091;113.220;188.811
2019-04-03 23:00:00;165.931;390.040;112.143;188.528
2019-04-04 00:00:00;165.574;389.917;112.428;188.486
2019-04-04 01:00:00;165.321;390.028;112.663;188.186
2019-04-04 02:00:00;166.167;390.866;113.010;188.067
2019-04-04 03:00:00;166.380;391.685;112.983;188.656
2019-04-04 04:00:00;166.690;391.881;113.183;188.382
2019-04-04 05:00:00;167.050;392.395;113.276;189.028
2019-04-04 06:00:00;167.000;391.964;113.115;189.330
2019-04-04 07:00:00;166.603;393.140;113.320;189.210
2019-04-04 08:00:00;167.361;393.084;113.159;188.961
2019-04-04 09:00:00;167.620;393.710;113.597;188.991
2019-04-04 10:00:00;168.369;394.172;113.646;190.092
2019-04-04 11:00:00;168.434;396.059;114.351;190.297
2019-04-04 12:00:00;167.990;393.515;113.893;189.756
2019-04-04 13:00:00;167.761;393.366;113.838;189.338
2019-04-04 14:00:00;167.694;392.997;113.668;189.453
2019-04-04 15:00:00;167.849;391.954;113.887;189.314
2019-04-04 16:00:00;167.850;392.683;113.876;189.374
2019-04-04 17:00:00;167.806;391.527;113.785;189.644
2019-04-04 18:00:00;167.467;389.834;113.453;189.270
2019-04-04 19:00:00;167.108;389.985;113.166;188.274
2019-04-04 20:00:00;166.539;390.271;113.386;188.546
2019-04-04 21:00:00;166.147;390.477;113.126;187.558
2019-04-04 22:00:00;166.292;388.900;112.931;188.407
2019-04-04 23:00:00;166.257;390.255;113.020;188.239
2019-04-05 00:00:00;165.846;389.877;112.602;188.581
2019-04-05 01:00:00;165.300;388.713;112.613;187.538
2019-04-05 02:00:00;165.784;388.898;112.602;188.860
2019-04-05 03:00:00;166.142;388.454;113.140;188.293
2019-04-05 04:00:00;165.901;389.727;113.348;188.754
2019-04-05 05:00:00;166.329;389.771;113.018;188.647
2019-04-05 06:00:00;167.046;390.437;113.560;188.810
2019-04-05 07:00:00;166.458;390.767;113.478;189.088
2019-04-05 08:00:00;167.292;390.528;112.760;189.031
2019-04-05 09:00:00;166.635;390.342;112.802;188.873
2019-04-05 10:00:00;166.959;390.527;113.294;188.831
2019-04-05 11:00:00;166.603;390.639;113.109;188.731
2019-04-05 12:00:00;166.760;390.058;113.378;189.000
2019-04-05 13:00:00;167.425;391.349;116.190;189.014
2019-04-05 14:00:00;167.835;393.124;115.313;189.829
2019-04-05 15:00:00;167.800;393.311;114.400;189.621
2019-04-05 16:00:00;167.263;391.804;113.587;189.561
2019-04-05 17:00:00;167.535;390.953;113.390;189.629
2019-04-05 18:00:00;167.758;391.054;113.926;189.278
2019-04-05 19:00:00;167.331;391.101;113.369;188.764
2019-04-05 20:00:00;167.830;391.753;113.803;189.212
2019-04-05 21:00:00;167.679;391.151;113.583;189.153
2019-04-05 22:00:00;167.030;389.554;113.661;188.525
2019-04-05 23:00:00;166.909;391.055;113.277;189.288
2019-04-06 00:00:00;166.872;389.422;112.905;188.554
2019-04-06 01:00:00;167.566;389.635;114.089;188.753
2019-04-06 02:00:00;167.046;390.957;113.360;188.299
2019-04-06 03:00:00;167.368;391.568;113.153;188.352
2019-04-06 04:00:00;167.245;391.076;113.578;188.604
2019-04-06 05:00:00;166.970;391.999;113.487;189.376
2019-04-06 06:00:00;167.426;391.835;113.918;189.239
2019-04-06 07:00:00;167.388;391.937;113.806;189.582
2019-04-06 08:00:00;167.623;392.714;114.041;189.454
2019-04-06 09:00:00;167.178;390.888;113.728;189.294
2019-04-06 10:00:00;167.422;390.821;113.512;188.978
2019-04-06 11:00:00;166.900;391.013;113.171;189.341
2019-04-06 12:00:00;166.963;392.195;113.339;188.916
2019-04-06 13:00:00;167.275;391.819;113.759;189.428
2019-04-06 14:00:00;167.320;392.037;114.036;189.176
2019-04-06 15:00:00;167.664;393.675;113.687;189.950
2019-04-06 16:00:00;167.748;392.692;113.960;189.492
2019-04-06 17:00:00;167.705;392.624;113.649;189.040
2019-04-06 18:00:00;168.003;394.225;114.417;188.918
2019-04-06 19:00:00;168.090;393.455;114.105;189.771
2019-04-06 20:00:00;167.693;393.071;114.184;189.932
2019-04-06 21:00:00;168.121;392.900;113.723;189.782
