rec_id	datetime	press1	temp1	relhum1	volt	counts1	nsecs1	counts2	nsecs2	temp_ext	relhum_ext	moder_cph_filt
1	2019-05-15T15:09:58Z	948.5	9.9	55.0	13.1	16	41	10	42	8.5	63.0	nan
2	2019-05-15T15:39:00Z	948.2	10.6	51.5	12.9	702	1177	382	1178	8.7	64.3	2147.2
3	2019-05-15T15:59:00Z	948.2	10.7	44.4	12.9	645	1200	417	1200	8.2	66.3	1935.0
4	2019-05-15T16:19:00Z	948.1	10.7	41.3	12.9	679	1200	407	1200	8.1	64.1	2037.0
5	2019-05-15T16:39:00Z	948.2	10.6	39.7	12.8	695	1200	419	1200	8.0	66.8	2085.0
6	2019-05-15T16:59:00Z	948.2	10.3	38.8	12.8	682	1200	416	1200	7.7	74.0	2046.0
7	2019-05-15T17:19:00Z	948.2	10.0	38.3	12.8	707	1200	394	1200	7.4	73.1	2121.0
8	2019-05-15T17:39:00Z	948.2	9.7	38.0	12.8	744	1200	404	1200	7.2	76.2	2232.0
9	2019-05-15T17:59:00Z	948.3	9.5	37.7	12.8	683	1200	405	1200	7.0	79.4	2049.0
10	2019-05-15T18:19:00Z	948.2	9.2	37.5	12.8	671	1200	384	1200	6.4	85.8	2013.0
11	2019-05-15T18:39:00Z	948.2	8.8	37.3	12.8	688	1200	423	1200	6.1	84.1	2064.0
12	2019-05-15T18:59:00Z	948.2	8.6	37.2	12.8	674	1200	395	1200	6.0	84.4	2022.0
13	2019-05-15T19:19:00Z	948.3	8.3	37.1	12.8	727	1200	411	1200	5.9	86.7	2181.0
14	2019-05-15T19:39:00Z	948.2	8.1	37.1	12.8	712	1200	383	1200	5.5	89.7	2136.0
15	2019-05-15T19:59:00Z	948.2	7.9	37.0	12.8	667	1200	394	1200	5.5	88.8	2001.0
16	2019-05-15T20:19:00Z	948.0	7.7	37.0	12.8	691	1200	408	1200	5.4	87.8	2073.0
17	2019-05-15T20:39:00Z	947.8	7.5	36.9	12.7	676	1200	375	1200	5.3	88.8	2028.0
18	2019-05-15T20:59:00Z	947.7	7.3	36.9	12.7	691	1200	372	1200	5.1	90.9	2073.0
19	2019-05-15T21:19:00Z	947.6	7.1	36.8	12.7	642	1200	421	1200	4.7	91.6	1926.0
20	2019-05-15T21:39:00Z	947.5	6.9	36.8	12.7	701	1200	372	1200	4.6	92.9	2103.0
21	2019-05-15T21:59:00Z	947.4	6.7	36.8	12.7	723	1200	385	1200	4.6	92.1	2169.0
22	2019-05-15T22:19:00Z	947.1	6.6	36.7	12.7	677	1200	413	1200	4.6	92.8	2031.0
23	2019-05-15T22:39:00Z	946.9	6.5	36.7	12.7	626	1200	386	1200	4.2	95.6	1878.0
24	2019-05-15T22:59:00Z	946.7	6.4	36.6	12.7	673	1200	392	1200	3.9	96.6	2019.0
25	2019-05-15T23:19:00Z	946.5	5.9	36.5	12.7	643	1200	418	1200	3.7	96.9	1929.0
26	2019-05-15T23:39:00Z	946.2	5.4	36.5	12.7	644	1200	391	1200	3.0	96.0	1932.0
27	2019-05-15T23:59:00Z	945.9	5.0	36.6	12.7	756	1200	396	1200	2.6	97.1	2268.0
28	2019-05-16T00:19:00Z	945.6	4.6	36.7	12.7	650	1200	444	1200	2.5	97.6	1950.0
29	2019-05-16T00:39:00Z	945.4	4.4	36.8	12.7	671	1200	422	1200	2.3	97.7	2013.0
30	2019-05-16T00:59:00Z	945.0	4.3	36.8	12.7	673	1200	389	1200	2.4	98.2	2019.0
31	2019-05-16T01:19:00Z	944.9	4.2	36.8	12.7	709	1200	433	1200	2.1	98.2	2127.0
32	2019-05-16T01:39:00Z	944.7	4.0	36.7	12.7	639	1200	457	1200	2.0	98.5	1917.0
33	2019-05-16T01:59:00Z	944.5	3.7	36.7	12.7	678	1200	438	1200	1.9	98.8	2034.0
34	2019-05-16T02:19:00Z	944.2	3.5	36.8	12.7	683	1200	405	1200	1.7	98.9	2049.0
35	2019-05-16T02:39:00Z	943.9	3.4	36.8	12.7	701	1200	421	1200	1.7	99.1	2103.0
36	2019-05-16T02:59:00Z	943.5	3.0	36.6	12.7	674	1200	386	1200	0.6	99.2	2022.0
37	2019-05-16T03:19:00Z	943.4	2.5	36.7	12.7	702	1200	405	1200	0.7	99.4	2106.0
38	2019-05-16T03:39:00Z	943.3	2.5	36.9	12.7	691	1200	403	1200	1.2	99.4	2073.0
39	2019-05-16T03:59:00Z	943.2	2.8	37.1	12.7	724	1200	410	1200	1.5	99.3	2172.0
40	2019-05-16T04:19:00Z	943.1	3.2	37.0	12.7	712	1200	419	1200	2.2	99.4	2136.0
41	2019-05-16T04:39:00Z	943.1	3.6	36.9	12.7	668	1200	426	1200	3.1	99.4	2004.0
42	2019-05-16T04:59:00Z	943.2	4.2	36.7	12.7	748	1200	444	1200	3.9	99.3	2244.0
43	2019-05-16T05:19:00Z	943.4	4.8	36.6	12.7	692	1200	435	1200	4.0	99.1	2076.0
44	2019-05-16T05:39:00Z	943.4	5.2	36.3	12.7	684	1200	396	1200	4.2	97.9	2052.0
45	2019-05-16T05:59:00Z	943.5	5.5	36.2	12.7	710	1200	396	1200	4.5	95.0	2130.0
46	2019-05-16T06:19:00Z	943.5	5.9	36.2	12.7	702	1200	440	1200	4.9	93.4	2106.0
47	2019-05-16T06:39:00Z	943.5	6.2	36.0	12.7	709	1200	439	1200	4.7	92.4	2127.0
48	2019-05-16T06:59:00Z	943.5	6.4	35.9	12.7	741	1200	380	1200	5.0	91.8	2223.0
49	2019-05-16T07:19:00Z	943.4	6.7	35.9	12.7	702	1200	415	1200	5.3	91.1	2106.0
50	2019-05-16T07:39:00Z	943.3	7.0	36.0	12.8	707	1200	431	1200	5.4	87.7	2121.0
51	2019-05-16T07:59:00Z	943.3	7.5	36.1	12.8	716	1200	419	1200	5.8	86.9	2148.0
52	2019-05-16T08:19:00Z	943.3	8.0	35.9	12.8	754	1200	454	1200	6.1	82.9	2262.0
53	2019-05-16T08:39:00Z	943.2	8.3	35.7	12.8	689	1200	389	1200	6.5	82.2	2067.0
54	2019-05-16T08:59:00Z	943.1	8.6	35.6	12.9	768	1200	390	1200	6.7	82.0	2304.0
55	2019-05-16T09:19:00Z	943.0	9.2	35.7	13.2	704	1200	425	1200	8.5	76.5	2112.0
56	2019-05-16T09:39:00Z	943.0	10.0	35.7	13.3	754	1200	391	1200	8.4	73.4	2262.0
57	2019-05-16T09:59:00Z	943.0	10.9	35.4	13.4	685	1200	445	1200	8.3	73.2	2055.0
58	2019-05-16T10:19:00Z	942.9	11.3	34.9	13.2	714	1200	443	1200	8.0	76.2	2142.0
59	2019-05-16T10:39:00Z	942.8	11.2	35.0	13.2	713	1200	391	1200	8.3	72.5	2139.0
60	2019-05-16T10:59:00Z	942.7	11.6	35.0	13.3	712	1200	419	1200	8.9	73.5	2136.0
61	2019-05-16T11:19:00Z	942.6	12.3	35.0	13.4	731	1200	391	1200	10.5	66.6	2193.0
62	2019-05-16T11:39:00Z	942.6	13.4	34.7	13.4	720	1200	423	1200	10.0	74.9	2160.0
63	2019-05-16T11:59:00Z	942.6	13.6	34.1	13.3	741	1200	418	1200	9.8	67.3	2223.0
64	2019-05-16T12:19:00Z	942.5	14.1	34.2	13.4	762	1200	436	1200	10.6	73.4	2286.0
65	2019-05-16T12:39:00Z	942.5	14.6	34.0	13.6	699	1200	424	1200	10.5	68.7	2097.0
66	2019-05-16T12:59:00Z	942.3	14.4	33.9	13.3	704	1200	439	1200	10.3	74.5	2112.0
67	2019-05-16T13:19:00Z	942.1	14.7	34.4	13.7	707	1200	424	1200	12.0	64.2	2121.0
68	2019-05-16T13:39:00Z	942.0	15.9	34.0	13.6	711	1200	421	1200	11.8	74.0	2133.0
69	2019-05-16T13:59:00Z	941.9	15.7	33.4	13.3	746	1200	394	1200	11.0	68.3	2238.0
70	2019-05-16T14:19:00Z	941.7	14.9	33.5	13.2	692	1200	409	1200	11.2	67.4	2076.0
71	2019-05-16T14:39:00Z	941.7	14.4	33.8	13.1	755	1200	416	1200	10.8	72.9	2265.0
72	2019-05-16T14:59:00Z	941.6	13.9	34.0	13.1	710	1200	443	1200	10.6	73.9	2130.0
73	2019-05-16T15:19:00Z	941.5	13.5	34.3	13.1	691	1200	418	1200	10.6	76.6	2073.0
74	2019-05-16T15:39:00Z	941.5	13.5	34.1	13.0	737	1199	454	1200	10.5	74.2	2212.8
75	2019-05-16T15:59:00Z	941.4	13.2	34.3	13.0	716	1200	421	1200	10.3	75.9	2148.0
76	2019-05-16T16:19:00Z	941.3	12.9	34.5	13.0	729	1200	402	1200	10.2	75.5	2187.0
77	2019-05-16T16:39:00Z	941.2	12.6	34.6	13.0	731	1200	421	1200	9.9	78.6	2193.0
