rec_id	datetime	press1	temp1	relhum1	volt	counts1	nsecs1	counts2	nsecs2	moder_cph_filt
1	2019-05-07T08:37:25Z	951.0	15.1	43.7	14.1	21	95	14	96	nan
2	2019-05-07T08:56:00Z	950.8	14.3	41.1	14.1	261	1115	162	1115	842.7
3	2019-05-07T09:16:00Z	950.5	15.2	37.2	14.1	269	1200	189	1200	807.0
4	2019-05-07T09:36:00Z	950.2	15.6	35.3	13.7	270	1200	197	1200	810.0
5	2019-05-07T09:56:00Z	950.1	16.4	34.2	13.7	286	1200	184	1199	858.0
6	2019-05-07T10:16:00Z	950.1	17.0	33.3	13.6	278	1200	189	1200	834.0
7	2019-05-07T10:36:00Z	949.8	17.5	32.5	13.6	299	1200	190	1200	897.0
8	2019-05-07T10:56:00Z	949.6	17.9	32.0	13.6	278	1200	181	1200	834.0
9	2019-05-07T11:16:00Z	949.2	18.1	31.6	13.6	269	1200	174	1200	807.0
10	2019-05-07T11:36:00Z	949.0	18.1	31.3	13.6	276	1200	181	1200	828.0
11	2019-05-07T11:56:00Z	948.9	18.3	31.1	13.6	263	1200	173	1200	789.0
12	2019-05-07T12:16:00Z	948.6	18.8	30.9	13.6	294	1199	178	1200	882.7
13	2019-05-07T12:36:00Z	948.4	19.7	30.7	13.6	272	1200	185	1200	816.0
14	2019-05-07T12:56:00Z	948.3	19.9	30.1	13.6	289	1200	212	1200	867.0
15	2019-05-07T13:16:00Z	948.1	19.9	29.9	13.5	301	1200	189	1200	903.0
16	2019-05-07T13:36:00Z	948.0	20.3	29.8	13.5	300	1200	158	1200	900.0
17	2019-05-07T13:56:00Z	947.7	20.9	29.6	13.5	276	1200	188	1199	828.0
18	2019-05-07T14:16:00Z	947.5	21.7	29.4	13.5	299	1200	190	1200	897.0
19	2019-05-07T14:36:00Z	947.4	22.2	29.3	13.5	288	1200	190	1200	864.0
20	2019-05-07T14:56:00Z	947.4	22.7	29.1	13.5	294	1200	204	1200	882.0
21	2019-05-07T15:16:00Z	947.3	23.1	29.0	13.5	266	1200	188	1200	798.0
22	2019-05-07T15:36:00Z	947.3	23.2	28.8	13.5	296	1200	207	1200	888.0
23	2019-05-07T15:56:00Z	947.2	23.1	28.5	13.5	286	1200	161	1200	858.0
24	2019-05-07T16:16:00Z	947.1	22.7	28.5	13.5	254	1199	224	1200	762.6
25	2019-05-07T16:36:00Z	947.0	22.6	28.4	13.5	290	1200	181	1200	870.0
26	2019-05-07T16:56:00Z	946.9	22.4	28.1	13.5	282	1200	200	1200	846.0
27	2019-05-07T17:16:00Z	946.9	22.2	28.0	13.5	292	1200	197	1200	876.0
28	2019-05-07T17:36:00Z	946.8	21.4	27.8	13.1	309	1200	190	1200	927.0
29	2019-05-07T17:56:00Z	946.8	19.7	27.7	13.0	298	1200	170	1199	894.0
30	2019-05-07T18:16:00Z	946.9	17.8	27.7	13.0	298	1200	207	1200	894.0
31	2019-05-07T18:36:00Z	946.9	15.9	27.7	12.9	289	1200	216	1200	867.0
32	2019-05-07T18:56:00Z	946.8	14.3	27.6	12.9	287	1200	198	1200	861.0
33	2019-05-07T19:16:00Z	947.0	12.8	27.5	12.9	280	1200	199	1200	840.0
34	2019-05-07T19:36:00Z	947.0	11.6	27.3	12.9	283	1200	183	1200	849.0
35	2019-05-07T19:56:00Z	947.2	10.4	27.2	12.8	275	1200	184	1200	825.0
36	2019-05-07T20:16:00Z	947.2	9.4	27.1	12.8	260	1200	207	1200	780.0
37	2019-05-07T20:36:00Z	947.2	8.5	27.0	12.8	257	1200	211	1200	771.0
38	2019-05-07T20:56:00Z	947.3	7.7	26.8	12.8	254	1199	194	1200	762.6
39	2019-05-07T21:16:00Z	947.2	6.9	26.7	12.8	286	1200	200	1200	858.0
40	2019-05-07T21:36:00Z	947.2	6.2	26.6	12.7	274	1200	201	1200	822.0
41	2019-05-07T21:56:00Z	947.1	5.6	26.5	12.7	283	1200	199	1200	849.0
42	2019-05-07T22:16:00Z	947.0	5.0	26.5	12.7	243	1200	226	1200	729.0
43	2019-05-07T22:36:00Z	946.8	4.6	26.6	12.7	242	1200	201	1200	726.0
44	2019-05-07T22:56:00Z	946.8	4.2	26.6	12.7	308	1200	185	1199	924.0
45	2019-05-07T23:16:00Z	946.8	3.9	26.5	12.7	291	1200	197	1200	873.0
46	2019-05-07T23:36:00Z	946.3	3.8	26.7	12.6	298	1200	199	1200	894.0
47	2019-05-07T23:56:00Z	946.1	3.9	26.8	12.6	281	1200	197	1200	843.0
48	2019-05-08T00:16:00Z	945.9	3.8	26.7	12.6	280	1200	211	1200	840.0
49	2019-05-08T00:36:00Z	945.8	3.5	26.6	12.6	312	1200	198	1200	936.0
50	2019-05-08T00:56:00Z	945.6	3.3	26.6	12.6	264	1200	241	1200	792.0
51	2019-05-08T01:16:00Z	945.6	3.2	26.7	12.6	278	1200	184	1200	834.0
52	2019-05-08T01:36:00Z	945.3	3.2	26.7	12.6	313	1200	194	1200	939.0
53	2019-05-08T01:56:00Z	945.1	3.2	26.9	12.6	267	1200	176	1200	801.0
54	2019-05-08T02:16:00Z	945.0	3.3	27.1	12.6	287	1200	183	1200	861.0
55	2019-05-08T02:36:00Z	944.8	3.3	26.9	12.6	302	1200	207	1200	906.0
56	2019-05-08T02:56:00Z	944.6	3.4	26.8	12.6	286	1200	197	1200	858.0
57	2019-05-08T03:16:00Z	944.4	3.5	26.8	12.6	295	1199	189	1200	885.7
58	2019-05-08T03:36:00Z	944.2	3.6	26.8	12.6	269	1200	164	1200	807.0
59	2019-05-08T03:56:00Z	944.1	3.8	26.8	12.6	274	1200	200	1200	822.0
60	2019-05-08T04:16:00Z	944.0	3.8	26.8	12.6	262	1200	205	1200	786.0
61	2019-05-08T04:36:00Z	943.8	4.0	26.8	12.7	295	1200	206	1200	885.0
62	2019-05-08T04:56:00Z	943.6	4.4	26.8	12.7	274	1200	229	1200	822.0
63	2019-05-08T05:16:00Z	943.6	4.8	26.7	12.8	266	1200	198	1199	798.0
64	2019-05-08T05:36:00Z	943.5	5.3	26.8	12.9	282	1200	179	1200	846.0
