rec_id	datetime	press4	press1	temp1	temp_ext	relhum1	relhum_ext	volt	counts1	counts2	nsecs1	nsecs2	N1T_C	N1RH	N2T_C	N2RH	moder_cph_filt
24845	2019-05-01T00:06:02Z	948.54	947.6	9.2	7.7	13.0	80.6	12.9	315	199	602	602	13.5	2.5	14.0	2.8	1883.7
24846	2019-05-01T00:16:00Z	948.47	947.5	9.4	7.5	13.0	81.3	12.9	282	204	598	598	13.5	2.5	13.9	2.8	nan
24847	2019-05-01T00:26:00Z	948.4	947.5	9.4	7.4	12.9	81.1	12.9	381	191	600	600	13.4	2.5	13.9	2.8	2286.0
24848	2019-05-01T00:36:00Z	948.37	947.4	9.2	7.4	12.9	80.9	12.9	314	208	600	600	13.4	2.5	13.8	2.8	1884.0
24849	2019-05-01T00:46:00Z	948.25	947.4	9.0	7.1	12.9	82.8	12.9	339	208	600	600	13.3	2.5	13.7	2.7	2034.0
24850	2019-05-01T00:56:00Z	948.16	947.3	8.8	6.8	12.9	84.9	12.9	316	228	600	600	13.2	2.5	13.6	2.7	1896.0
24851	2019-05-01T01:06:00Z	948.15	947.2	8.7	6.7	12.9	84.5	12.9	334	223	600	600	13.2	2.5	13.5	2.7	2004.0
24852	2019-05-01T01:16:00Z	948.2	947.2	8.4	6.7	12.9	83.5	12.9	343	207	600	600	13.1	2.5	13.4	2.7	2058.0
24853	2019-05-01T01:26:00Z	948.34	947.2	8.2	5.7	12.9	86.0	12.8	300	213	600	600	12.9	2.5	13.2	2.7	1800.0
24854	2019-05-01T01:36:00Z	948.06	947.0	7.7	5.0	12.8	89.4	12.8	346	254	600	600	12.7	2.5	13.0	2.7	2076.0
24855	2019-05-01T01:46:00Z	947.85	946.9	7.2	4.2	12.8	93.2	12.8	333	213	600	600	12.5	2.5	12.7	2.7	1998.0
24856	2019-05-01T01:56:00Z	947.95	946.8	6.7	4.7	12.8	92.8	12.8	328	216	600	600	12.2	2.5	12.3	2.7	1968.0
24857	2019-05-01T02:06:00Z	947.95	946.7	6.4	4.3	12.9	91.5	12.8	344	217	600	600	11.9	2.5	11.9	2.7	2064.0
24858	2019-05-01T02:16:00Z	948.04	946.7	6.1	2.7	12.9	90.9	12.8	324	237	600	600	11.6	2.5	11.6	2.7	1944.0
24859	2019-05-01T02:26:00Z	947.9	946.6	5.6	2.6	12.8	96.4	12.8	346	214	600	600	11.3	2.5	11.2	2.6	2076.0
24860	2019-05-01T02:36:00Z	947.73	946.5	5.1	2.4	12.8	96.6	12.8	339	195	600	600	10.9	2.5	10.8	2.7	2034.0
24861	2019-05-01T02:46:00Z	947.77	946.5	4.7	1.8	12.8	97.4	12.8	324	207	600	600	10.5	2.5	10.4	2.6	1944.0
24862	2019-05-01T02:56:00Z	947.63	946.4	4.3	1.8	12.8	97.7	12.8	362	217	600	600	10.2	2.4	9.9	2.6	2172.0
24863	2019-05-01T03:06:00Z	947.61	946.3	4.1	2.0	12.8	98.2	12.8	316	198	599	600	9.9	2.5	9.6	2.6	nan
24864	2019-05-01T03:16:00Z	947.68	946.2	4.0	2.3	12.8	98.1	12.8	335	230	600	600	9.6	2.4	9.4	2.6	2010.0
24865	2019-05-01T03:26:00Z	947.71	946.3	3.8	1.6	12.8	97.9	12.8	339	189	600	600	9.3	2.4	9.2	2.6	2034.0
24866	2019-05-01T03:36:00Z	947.65	946.2	3.7	1.6	12.8	98.3	12.7	323	209	600	600	9.1	2.4	9.0	2.6	1938.0
24867	2019-05-01T03:46:00Z	947.58	946.1	3.5	2.0	12.9	98.7	12.7	350	230	600	600	8.9	2.4	8.8	2.5	2100.0
24868	2019-05-01T03:56:00Z	947.56	946.2	3.5	1.6	12.9	98.2	12.7	337	216	600	600	8.7	2.4	8.7	2.5	2022.0
24869	2019-05-01T04:06:00Z	947.6	946.2	3.3	1.1	12.8	98.1	12.7	337	259	600	600	8.5	2.4	8.5	2.5	2022.0
24870	2019-05-01T04:16:00Z	947.68	946.2	3.2	1.3	12.8	98.5	12.8	317	199	600	600	8.3	2.4	8.3	2.5	1902.0
24871	2019-05-01T04:26:00Z	947.67	946.2	3.0	1.4	12.8	98.3	12.8	310	187	600	600	8.1	2.4	8.2	2.5	1860.0
24872	2019-05-01T04:36:00Z	947.77	946.3	3.0	1.8	12.9	97.8	12.9	329	237	600	600	8.0	2.4	8.0	2.5	1974.0
24873	2019-05-01T04:46:00Z	947.8	946.4	3.1	2.5	12.9	97.6	13.0	366	209	600	600	8.0	2.3	8.0	2.5	2196.0
24874	2019-05-01T04:56:00Z	947.89	946.5	3.3	3.1	12.9	96.6	13.1	350	206	600	600	8.0	2.4	8.0	2.5	2100.0
24875	2019-05-01T05:06:00Z	948.06	946.6	3.6	4.0	13.0	93.9	13.3	305	195	600	600	8.2	2.4	8.1	2.5	1830.0
24876	2019-05-01T05:16:00Z	947.95	946.7	4.0	5.1	13.0	92.1	13.5	309	195	600	600	8.4	2.4	8.2	2.5	1854.0
24877	2019-05-01T05:26:00Z	948.02	946.7	4.5	6.0	13.1	87.9	13.7	342	198	600	600	8.7	2.4	8.5	2.5	2052.0
24878	2019-05-01T05:36:00Z	948.19	946.8	5.1	6.1	13.1	86.4	13.8	325	207	600	600	9.1	2.4	8.8	2.5	1950.0
24879	2019-05-01T05:46:00Z	948.28	946.9	5.6	6.5	13.1	86.1	13.9	329	221	600	600	9.6	2.4	9.1	2.5	1974.0
24880	2019-05-01T05:56:00Z	948.17	947.0	6.2	7.5	13.1	83.8	14.0	360	199	600	600	10.1	2.4	9.5	2.5	2160.0
24881	2019-05-01T06:06:00Z	948.1	947.0	6.9	8.3	13.1	79.3	14.2	365	212	600	600	10.6	2.4	10.0	2.6	2190.0
24882	2019-05-01T06:16:00Z	948.18	947.0	7.5	8.9	13.1	76.1	14.4	318	208	600	599	11.2	2.4	10.4	2.6	1908.0
24883	2019-05-01T06:26:00Z	948.15	947.1	8.2	9.1	13.1	76.6	14.5	323	215	600	600	11.8	2.4	10.9	2.6	1938.0
24884	2019-05-01T06:36:00Z	948.26	947.2	8.9	9.2	13.1	74.6	14.5	334	202	600	600	12.3	2.5	11.5	2.6	2004.0
24885	2019-05-01T06:46:00Z	948.3	947.2	9.6	10.0	13.0	74.9	14.4	327	222	599	600	13.0	2.5	12.0	2.6	nan
24886	2019-05-01T06:56:00Z	948.21	947.3	10.3	10.7	13.1	72.6	14.4	327	218	600	600	13.6	2.5	12.6	2.7	1962.0
