class	included location IDs	#no samples included	depth (cm)	organic matter [g/g]	lattice water [g/g]	coarse_fragments[-]	fine_fragments[-]	sand[%]	silt[%]	clay[%]
min_open	101;106;111;116;126;131;136;306;324;340;401	11	0	0.1738	0.0278	0.03	0.97	59.31	37.11	3.58
min_open	101;106;111;116;126;131;136;223;324;401	10	5	0.1449	0.0261	0.04	0.96	55.63	40.03	4.34
min_open	101;103;111;116;126;131;136;223;306;324;340;401	12	10	0.1018	0.0265	0.02	0.98	57.5	37.85	4.65
min_open	101;103;111;116;126;131;136;223;306;324;340;401	12	15	0.0571	0.0368	0.01	0.99	28.56	61.58	9.86
min_open	101;106;111;116;126;131;136;223;306;340;401	11	20	0.0591	0.0280	0.03	0.97	34.13	55.4	10.47
min_open	101;103;111;116;126;131;136;223;306;324;340;401	12	25	0.0704	0.0261	0.04	0.96	22.23	65	12.77
min_open	101;223;306;324;340	5	30	0.0794	0.0425	0.05	0.95	30.03	58.35	11.62
min_forest	301;317;345;408;419;424;	6	0	0.1409	0.0384	0.02	0.98	32.34	59.53	8.13
min_forest	218;232;301;317;345;408;419;424	8	5	0.1146	0.0428	0.01	0.99	36.41	55.63	7.96
min_forest	218;232;301;345;408;419;424	7	10	0.0644	0.0409	0.03	0.97	30.62	60.25	9.13
min_forest	218;232;301;345;408;419;424	7	15	0.0514	0.0346	0.02	0.98	30.39	60.3	9.31
min_forest	218;232;301;317;345;408;419	7	20	0.0437	0.0301	0.04	0.96	29.88	59.71	10.41
min_forest	218;232;301;317;345;408;419;424	8	25	0.0345	0.0424	0.03	0.97	30.52	58.7	10.78
min_forest	218;332;301;317;345;419;	6	30	0.0303	0.0417	0.04	0.96	26.7	61.19	12.11
org_open	335;356	2	0	0.4216	0.0430					
org_open	209;335;356	3	5	0.4174	0.0337					
org_open	209;335;356	3	10	0.4163	0.0343					
org_open	209;335;356	3	15	0.5098	0.0324					
org_open	209;356	2	20	0.6403	0.0399					
org_open	209;335;356	3	25	0.4951	0.0415					
org_open	209;335;356	3	30	0.6203	0.0251					
