location_id	lat	lon	FDR-readings (yes/no)	cylinder samples (yes/no)						
101	47.833132	11.0621	no	yes						
102	47.83321	11.06209	yes	no						
103	47.83315	11.06219	yes	no						
104	47.83311506	11.06	yes	no						
105	47.83315	11.06201	yes	no						
106	47.83248	11.06048	no	yes						
107	47.83253	11.06047	yes	no						
108	47.83249	11.06055	yes	no						
109	47.83243	11.06048	yes	no						
110	47.83247	11.0604	yes	no						
111	47.83221	11.05952	no	yes						
112	47.83222	11.05958	yes	no						
113	47.83216	11.05951	yes	no						
114	47.83221	11.05942	yes	no						
115	47.83227	11.05951	yes	no						
116	47.83168	11.05948	no	yes						
117	47.83167	11.05942	yes	no						
118	47.83162	11.05951	yes	no						
119	47.83168	11.05958	yes	no						
120	47.83173	11.05949	yes	no						
121	47.83159	11.05844	yes	no						
122	47.83219	11.05832	yes	no						
123	47.83301	11.05812	yes	no						
124	47.83301	11.05883	yes	no						
125	47.83302	11.05973	yes	no						
126	47.83155	11.06315	no	yes						
127	47.83154	11.06327	yes	no						
128	47.8316	11.06317	yes	no						
129	47.83152	11.06311	yes	no						
130	47.83147	11.0632	yes	no						
131	47.82998	11.06292	no	yes						
132	47.83001	11.0628	yes	no						
133	47.83006	11.06294	yes	no						
134	47.82996	11.06304	yes	no						
135	47.82991	11.0629	yes	no						
136	47.83052	11.06024	no	yes						
137	47.83051	11.06013	yes	no						
138	47.83061	11.0602	yes	no						
139	47.83056	11.06032	yes	no						
140	47.83048	11.06026	yes	no						
141	47.83051995	11.06023991	yes	no						
201	47.83090328	11.06619482	yes	no						
202	47.83155	11.06662	yes	no						
203	47.83293	11.06655	yes	no						
204	47.83269	11.06786	yes	no						
205	47.83313	11.06839	yes	no						
206	47.83324	11.0656	yes	no						
207	47.83226	11.06526	yes	no						
208	47.83242	11.06613	yes	no						
209	47.8323931	11.06613554	no	yes						
210	47.83241084	11.06609244	yes	no						
211	47.83244966	11.06611958	yes	no						
212	47.83243193	11.06616883	yes	no						
213	47.82936	11.06806	yes	no						
214	47.83018	11.06849	yes	no						
215	47.83043	11.06778	yes	no						
216	47.83187	11.06792	yes	no						
217	47.83205	11.06946	yes	no						
218	47.83165319	11.06881731	no	yes						
219	47.83165	11.06879	yes	no						
220	47.83164	11.06884	yes	no						
221	47.83162	11.06881	yes	no						
222	47.8316758	11.06882488	yes	no						
223	47.82929538	11.07053849	no	yes						
224	47.82927664	11.07053807	yes	no						
225	47.82929403	11.07056639	yes	no						
226	47.82931841	11.0705521	yes	no						
227	47.82930547	11.07052042	yes	no						
228	47.82986	11.06977	yes	no						
229	47.82954	11.06902	yes	no						
230	47.83054	11.06949	yes	no						
231	47.83087	11.07069	yes	no						
232	47.82810841	11.06896529	no	yes						
233	47.82810269	11.0689758	yes	no						
234	47.82812	11.06897	yes	no						
235	47.82812	11.06895	yes	no						
236	47.8281	11.06895	yes	no						
237	47.82854	11.06872	yes	no						
238	47.82884	11.06956	yes	no						
239	47.82803	11.07058	yes	no						
240	47.82746	11.07093	yes	no						
301	47.82895	11.06657	yes	yes						
302	47.8289	11.06654	yes	no						
303	47.82894	11.0665	yes	no						
304	47.82897	11.06656	yes	no						
305	47.82892	11.06661	yes	no						
306	47.82896	11.06571	yes	yes						
307	47.8289	11.06565	yes	no						
308	47.82895	11.06561	yes	no						
309	47.82899	11.06567	yes	no						
310	47.82894	11.06576	yes	no						
311	47.82832	11.06707	yes	no						
312	47.82771	11.06778	yes	no						
313	47.82714	11.0675	yes	no						
314	47.82643	11.0676	yes	no						
315	47.82778	11.06546	yes	no						
316	47.8274	11.066	yes	no						
317	47.82643303	11.06606093	yes	yes						
318	47.82631	11.06604	yes	no						
319	47.82643345	11.06594957	yes	no						
320	47.82653431	11.06605026	yes	no						
321	47.82641764	11.06614841	yes	no						
322	47.82717	11.06965	yes	no						
323	47.82616	11.06935	yes	no						
324	47.82596748	11.06848639	yes	yes						
325	47.82594	11.06848	yes	no						
326	47.82598	11.06844	yes	no						
327	47.82601547	11.06849975	yes	no						
328	47.82597	11.06853	yes	no						
330	47.82390538	11.06147453	yes	no						
331	47.82387689	11.06148252	yes	no						
332	47.82389572	11.06142715	yes	no						
333	47.82392336	11.06146538	yes	no						
334	47.82392193	11.06151748	yes	no						
335	47.82437	11.06376	yes	yes						
336	47.82437	11.0638	yes	no						
337	47.82435	11.06376	yes	no						
338	47.82438	11.06372	yes	no						
339	47.8244	11.06377	yes	no						
340	47.82252	11.06452	yes	yes						
341	47.82252	11.06455	yes	no						
342	47.82249	11.0645	yes	no						
343	47.82253	11.06445	yes	no						
344	47.82254959	11.06450783	yes	no						
345	47.82536025	11.06443186	yes	yes						
346	47.82531428	11.06441093	yes	no						
347	47.82537387	11.06438284	yes	no						
348	47.82532983	11.06448228	yes	no						
349	47.825399	11.06445404	yes	no						
350	47.82356	11.06449	yes	no						
351	47.82403	11.0657	yes	no						
352	47.82552	11.06532	yes	no						
353	47.82632	11.06554	yes	no						
354	47.82657	11.06483	yes	no						
355	47.82965	11.0661	yes	no						
356	47.8304	11.06592	yes	yes						
357	47.83035	11.06591	yes	no						
358	47.8304	11.06586	yes	no						
359	47.83044	11.06593	yes	no						
360	47.83039	11.066	yes	no						
401	47.82878	11.06328	yes	yes						
402	47.82876	11.06326	yes	no						
403	47.82878	11.06324	yes	no						
404	47.8288	11.06325	yes	no						
405	47.8288	11.06327	yes	no						
406	47.82853	11.06243	yes	no						
407	47.82828	11.06107	yes	no						
408	47.82818361	11.05996496	yes	yes						
409	47.82817193	11.05996076	yes	no						
410	47.82818395	11.05993504	yes	no						
411	47.82820059	11.05995984	no	no						
412	47.82818613	11.05999017	no	no						
413	47.82834	11.05871	no	no						
414	47.82902	11.05865	no	no						
415	47.82963	11.05858	no	no						
416	47.82898	11.05964	no	no						
417	47.82906	11.0607	no	no						
418	47.82918	11.06221	no	no						
419	47.82581	11.05919	no	yes						
420	47.82582	11.0592	no	no						
421	47.82582	11.05923	no	no						
424	47.82657	11.06165	no	yes						
425	47.82654756	11.06165706	no	no						
426	47.82656	11.06163	no	no						
427	47.82658	11.06164	no	no						
428	47.82657	11.06167	no	no						
429	47.82629	11.06108	no	no						
430	47.82603	11.0605	no	no						
431	47.82632	11.0603	no	no						
432	47.82682	11.06137	no	no						
433	47.82706	11.0619	no	no						
