location_id	replicate [1/2]	depth [cm]	volumetric water content [cm3/cm3]	BD[g/cm3]
101	1	0	0.3363	0.5577
101	2	0	0.3899	0.5878
101	1	5	0.4679	0.917
101	2	5	0.3787	0.8014
101	1	10	0.5222	1.1468
101	2	10	0.4932	1.1035
101	1	15	0.6836	1.3412
101	2	15	0.4388	0.8743
101	1	20	0.579	0.7455
101	2	20	0.6161	0.7927
101	1	25	0.6047	0.7299
101	2	25	0.6216	0.7443
101	1	30	0.7102	0.4236
101	2	30	0.7354	0.389
106	1	0	0.467	0.6369
106	2	0	0.4349	0.8284
106	1	5	0.5297	0.7252
106	2	5	0.5804	0.7193
106	1	10	0.4986	0.8229
106	2	10	0.5443	0.952
106	1	15	0.4737	1.059
106	2	15	0.5185	1.0422
106	1	20	0.5605	1.2066
106	2	20	0.5415	1.246
106	1	25	0.5155	1.2149
106	2	25	0.5211	1.2444
111	1	0	0.2261	0.7208
111	2	0	0.2585	0.7808
111	1	5	0.2635	1.0684
111	2	5	0.3414	1.0508
111	1	10	0.3318	1.096
111	2	10	0.3536	1.2303
111	1	15	0.3932	1.3595
111	2	15	0.4031	1.4099
111	1	20	0.3806	1.3459
111	2	20	0.386	1.4241
111	1	25	0.3973	1.4864
111	2	25	0.3621	1.3296
116	1	0	0.3733	0.8722
116	2	0	0.2864	0.6478
116	1	5	0.2566	1.1163
116	2	5	0.3636	1.1688
116	1	10	0.3397	1.3969
116	2	10	0.3654	1.4578
116	1	15	0.3441	1.4409
116	2	15	0.3032	1.3847
116	1	20	0.3705	1.5115
116	2	20	0.3755	1.5396
116	1	25	0.3715	1.5516
116	2	25	0.3728	1.5151
126	1	0	0.3101	0.66
126	2	0	0.3659	0.7601
126	1	5	0.4069	0.8845
126	2	5	0.4334	0.9416
126	1	10	0.3922	0.8265
126	2	10	0.4742	0.9694
126	1	15	0.4544	0.7759
126	2	15	0.492	0.9098
126	1	20	0.4972	0.8565
126	2	20	0.5543	0.8414
126	1	25	0.6883	0.5442
126	2	25	0.6549	0.5214
131	1	0	0.2935	0.6303
131	2	0	0.4052	0.8626
131	1	5	0.4435	0.9538
131	2	5	0.3999	0.9399
131	1	10	0.436	1.0888
131	2	10	0.4178	1.1127
131	1	15	0.5019	1.0977
131	2	15	0.4814	1.1675
131	1	20	0.5383	1.0681
131	2	20	0.5655	1.0667
131	1	25	0.559	0.988
131	2	25	0.5948	0.975
136	1	0	0.322	1.2153
136	2	0	0.2898	0.9769
136	1	5	0.3056	1.288
136	2	5	0.3126	1.2807
136	1	10	0.3594	1.245
136	2	10	0.3304	1.3109
136	1	15	0.324	1.4111
136	2	15	0.3166	1.5083
136	1	20	0.3353	1.4891
136	2	20	0.3035	1.5493
136	1	25	0.3283	1.4954
136	2	25	0.2803	1.4136
209	1	0	0.4282	0.2452
209	2	0	0.5724	0.2813
209	1	5	0.7423	0.3199
209	2	5	0.7137	0.3005
209	1	10	0.7918	0.2075
209	2	10	0.7931	0.2697
209	1	15	0.7933	0.1479
209	2	15	0.8466	0.1476
209	1	20	0.8126	0.1326
209	2	20	0.8462	0.1259
209	1	25	0.8543	0.116
209	2	25	0.7787	0.1059
218	1	0	0.2513	0.428
218	2	0	0.3142	0.6123
218	1	5	0.1991	1.1807
218	2	5	0.2181	1.3673
218	1	10	0.2288	1.3231
218	2	10	0.2565	1.3099
218	1	15	0.24	1.5675
218	2	15	0.2743	1.4851
218	1	20	0.2487	1.5024
218	2	20	0.2689	1.4596
218	1	25	0.2536	1.3731
218	2	25	0.2745	1.4264
223	1	0	0.5442	0.5619
223	2	0	0.2038	0.7024
223	1	5	0.4744	1.0544
223	2	5	0.495	0.9276
223	1	10	0.476	1.2977
223	2	10	0.4625	1.3299
223	1	15	0.5167	1.4321
223	2	15	0.4997	1.3203
223	1	20	0.5044	1.2715
223	2	20	0.4989	1.2965
223	1	25	0.5154	1.2461
223	2	25	0.4945	1.2963
232	1	0	0.6833	0.6367
232	2	0	0.6719	0.625
232	1	5	0.551	1.1322
232	2	5	0.5973	0.8194
232	1	10	0.4239	1.5121
232	2	10	0.3122	1.5272
232	1	15	0.3485	1.6968
