location_id	depth_of_hole[cm]	FDR_reading1[mV]	FDR_reading2[mV]	FDR_reading3[mV]	time	device	remarks	V_corr1[V]	V_corr2[V]	V_corr3[V]	epsilon1	epsilon2	epsilon3	theta_1[cm3/cm3]	theta_2[cm3/cm3]	theta_3[cm3/cm3]	theta_mean[cm3/cm3]
102	5	655	595	476	2019-06-25T10:30Z	320/060		0.769	0.697	0.554	14.723	12.976	10.069	0.456	0.439	0.402	0.432
102	10				2019-06-25T10:30Z	320/060											
102	15	656	730	750	2019-06-25T10:30Z	320/060		0.770	0.860	0.884	14.754	17.304	18.086	0.416	0.433	0.438	0.429
102	20	632	824	654	2019-06-25T10:30Z	320/060		0.742	0.973	0.768	14.025	21.416	14.691	0.465	0.519	0.472	0.485
102	25	715	830	778	2019-06-25T10:30Z	320/060		0.841	0.980	0.917	16.746	21.720	19.260	0.495	0.527	0.513	0.512
102	30	760	888	858	2019-06-25T10:30Z	320/060		0.896	1.050	1.014	18.495	24.976	23.217	0.584	0.632	0.621	0.613
103	5	402	501	600	2019-06-25T10:35Z	320/060		0.465	0.584	0.703	8.491	10.634	13.113	0.374	0.410	0.440	0.408
103	10	393	352	413	2019-06-25T10:30Z	320/060		0.454	0.405	0.478	8.306	7.479	8.718	0.336	0.319	0.344	0.333
103	15	477	434	442	2019-06-25T10:30Z	320/060		0.555	0.503	0.513	10.091	9.159	9.329	0.368	0.354	0.357	0.360
103	20	464	437	513	2019-06-25T10:30Z	320/060		0.539	0.507	0.598	9.805	9.222	10.913	0.410	0.400	0.428	0.413
103	25	606	794	513	2019-06-25T10:30Z	320/060		0.710	0.937	0.598	13.279	19.976	10.913	0.463	0.517	0.433	0.471
103	30	857	794	759	2019-06-25T10:30Z	320/060		1.012	0.937	0.894	23.161	19.976	18.453	0.621	0.597	0.584	0.601
104	5	266	497	436	2019-06-25T10:40Z	320/060		0.301	0.579	0.506	5.799	10.543	9.201	0.300	0.409	0.387	0.365
104	10	469	381	423	2019-06-25T10:40Z	320/060		0.545	0.439	0.490	9.914	8.062	8.927	0.362	0.331	0.347	0.347
104	15	766	801	794	2019-06-25T10:40Z	320/060		0.903	0.945	0.937	18.745	20.300	19.976	0.441	0.449	0.447	0.446
104	20	757	770	784	2019-06-25T10:40Z	320/060		0.892	0.908	0.925	18.371	18.915	19.525	0.501	0.504	0.508	0.504
104	25	795	894	866	2019-06-25T10:40Z	320/060		0.938	1.057	1.023	20.022	25.348	23.670	0.518	0.545	0.537	0.533
104	30	929	901	933	2019-06-25T10:40Z	320/060		1.099	1.065	1.104	27.672	25.792	27.955	0.648	0.637	0.649	0.645
105	5	610	690	589	2019-06-25T10:50Z	320/060		0.715	0.811	0.690	13.391	15.864	12.814	0.443	0.465	0.437	0.449
105	10	664	672	777	2019-06-25T10:50Z	320/060		0.780	0.790	0.916	15.006	15.264	19.217	0.414	0.415	0.438	0.422
105	15	855	818	683	2019-06-25T10:50Z	320/060		1.010	0.965	0.803	23.050	21.117	15.627	0.460	0.452	0.423	0.445
105	20	864	946	921	2019-06-25T10:50Z	320/060		1.021	1.120	1.089	23.555	28.900	27.117	0.529	0.550	0.544	0.541
105	25	901	960	967	2019-06-25T10:50Z	320/060		1.065	1.136	1.145	25.792	29.965	30.516	0.546	0.562	0.564	0.557
105	30	1006	1048	1019	2019-06-25T10:50Z	320/060		1.192	1.242	1.207	33.831	37.919	35.036	0.676	0.691	0.681	0.683
